Passanger_ssn,Train_Number,Ticket_Type,Staus
284965676,2,Premium,Booked
317434088,2,Premium,Booked
240471168,2,General,Booked
310908858,2,General,Booked
322273872,2,General,Booked
277292710,2,General,Booked
302548590,2,General,WaitList
331293204,2,General,WaitList
264816896,3,Premium,Booked
286411536,3,Premium,Booked
294860856,3,Premium,Booked
285200976,3,General,Booked
256558303,3,General,Booked
268682534,3,General,Booked
272913578,3,General,Booked
250951162,3,Premium,WaitList
272610795,4,Premium,Booked
309323096,4,Premium,Booked
331160133,4,Premium,Booked
290123298,4,General,Booked
814654987,4,General,Booked
987654321,4,General,Booked
345986511,4,Premium,WaitList
565110925,4,Premium,WaitList
667025599,4,General,WaitList
343114946,4,General,WaitList
